objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,badseed.jpg,,,The Bad Seed,Jory John; illst. Pete Oswald,2017,"A naughty seed with a bad attitude, bad temper, and bad manners vows to change his life for the better, but his efforts are met with skepticism by his friends.",Housing Insecurity,,,,0-06-295456-3,"E, JOH",Picture book,image/jpeg,,,
coll002,brightside.jpg,,,The Bright Side,Chad Otis,2023,"""When an unhoused boy enters school, he runs afoul of rules and finds himself alone, but finds that he has imagination, resilience, and can define 'the bright side' for himself""","Individuality, friendship, and schools",,,,0-593-53062-4,"E, OTI",Picture book,image/jpeg,,,
coll003,dayyoubegin.jpg,,,The Day You Begin,Jacqueline Woodson; illst. Rafael Lopez,2018,How a new student feels like an outsider and learn everyone feels that way when the first start at a new school,Divorce,,,,978-0-399-24653-1,"E, WOO",Picture book,image/jpeg,,,
coll004,divorceistheworst.jpg,,,Divorce is the Worst,Anastasia Higginbotham,2019,"Part of the Ordinary Terrible Things series, Divorce Is the Worst is a funny but frank picture book for kids whose parents are going through a divorce. In her iconic straightforward-but-sensitive way, author Anastasia Higginbotham sheds light on how hard it is for children to stay whole when their whole world, and the people in it, split apart.","Immigration, Hispanic representation",,,,1-948340-20-8,"306.89, HIG",Picture book,image/jpeg,,,
coll005,dreamers.jpg,,,Dreamers,Yuyi Morales,2018,"""An illustrated picture book autobiography in which award-winning author Yuyi Morales tells her own immigration story""--Provided by publisher.",Culture practices,,,,1-72542-308-1,"818, MOR",Picture book,image/jpeg,,,
coll006,everybodycooksrice.jpg,,,Everybody Cooks Rice,Norah Dooley; illst. Pete Thornton,1991,A child is sent to find a younger brother at dinnertime and is introduced to a variety of cultures through encountering the many different ways rice is prepared at the different households visited.,Family and tradition,,,,0-87614-412-1,"E, DOO",Picture book,image/jpeg,,,
coll007,frybread.jpg,,,Fry Bread,Kevin Maillard; illst. Juana Martinez-Neal,2019,"This portrayal of a modern Native American family, told in lively and powerful verse, uses fry bread as a metaphor for love, sharing, and honoring the old while embracing the new.",Friendship and moving,,,,978-1-62672-746-5,"E, MAI",Picture book,image/jpeg,,,
coll008,geraldine.jpg,,,Geraldine,Elizabeth Lily,2018,"Moving to a new school and struggling to meet friends, Geraldine befriends a fellow outcast and learns to be comfortable with who she is.",Individuality,,,,978-1-62672-359-7,"E, LIL",Picture book,image/jpeg,,,
coll009,giraffescantdance.jpg,,,Giraffes Can't Dance,Giles Andrae; illst. Guy Parker- Rees,2001,"Gerald is too clumsy to dance with all the other animals, until he finds the right music.","Father daughter relationship, Hairstyles",,,,0-439-28719-7,"E, AND",Picture book,image/jpeg,,,
coll010,hairlove.jpg,,,Hair Love,Matthew A. Cherry; illst. Vashti Harrison,2019,"A little girl’s dad steps in to help her arrange her wild hair into styles that allow her to be her natural, beautiful self.",Women in STEAM,,,,978-0-525-55336-6,"E, CHE",Picture book,image/jpeg,,,
